Transaction ID,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount,,,,,,,,,Min_age,Max_age,Avg_age,Total Sales Revenue,Average Order value, Category,Sales
56,5/31/2023,Female,26,Adolescent,Clothing,3,300,900,,,,,,,,,,,,,,,
57,11/18/2023,Female,63,Old,Beauty,1,30,30,,,,,,,,,,,,,,,
58,11/13/2023,Male,18,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
59,7/5/2023,Male,62,Old,Clothing,1,50,50,,,,,,,,,,,,,,,
60,10/23/2023,Male,30,Adolescent,Beauty,3,50,150,,,,,,,,,,,,,,,
61,4/9/2023,Male,21,Adolescent,Beauty,4,50,200,,,,,,,,,,,,,,,
62,12/27/2023,Male,18,Adolescent,Beauty,2,50,100,,,,,,,,,,,,,,,
63,2/5/2023,Male,57,Old,Electronics,2,25,50,,,,,,,,,,,,,,,
64,1/24/2023,Male,49,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
65,12/5/2023,Male,51,Middle Age,Electronics,4,500,2000,,,,,,,,,,,,,,,
66,4/27/2023,Female,45,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
67,5/29/2023,Female,48,Middle Age,Beauty,4,300,1200,,,,,,,,,,,,,,,
68,2/10/2023,Male,25,Adolescent,Electronics,1,300,300,,,,,,,,,,,,,,,
69,4/30/2023,Female,56,Old,Beauty,3,25,75,,,,,,,,,,,,,,,
70,2/21/2023,Female,43,Middle Age,Clothing,1,300,300,,,,,,,,,,,,,,,
71,7/14/2023,Female,51,Middle Age,Beauty,4,25,100,,,,,,,,,,,,,,,
72,5/23/2023,Female,20,Adolescent,Electronics,4,500,2000,,,,,,,,,,,,,,,
73,8/21/2023,Male,29,Adolescent,Electronics,3,30,90,,,,,,,,,,,,,,,
74,11/22/2023,Female,18,Adolescent,Beauty,4,500,2000,,,,,,,,,,,,,,,
75,7/6/2023,Male,61,Old,Beauty,4,50,200,,,,,,,,,,,,,,,
76,3/25/2023,Female,22,Adolescent,Electronics,2,50,100,,,,,,,,,,,,,,,
77,7/9/2023,Female,47,Middle Age,Clothing,2,50,100,,,,,,,,,,,,,,,
78,7/1/2023,Female,47,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
79,4/18/2023,Male,34,Middle Age,Beauty,1,300,300,,,,,,,,,,,,,,,
80,12/10/2023,Female,64,Old,Clothing,2,30,60,,,,,,,,,,,,,,,
81,5/17/2023,Male,40,Middle Age,Electronics,1,50,50,,,,,,,,,,,,,,,
82,12/26/2023,Female,32,Middle Age,Beauty,4,50,200,,,,,,,,,,,,,,,
83,12/16/2023,Male,54,Middle Age,Electronics,2,50,100,,,,,,,,,,,,,,,
84,11/28/2023,Female,38,Middle Age,Electronics,3,30,90,,,,,,,,,,,,,,,
85,2/6/2023,Male,31,Adolescent,Clothing,3,50,150,,,,,,,,,,,,,,,
86,11/8/2023,Male,19,Adolescent,Beauty,3,30,90,,,,,,,,,,,,,,,
87,11/22/2023,Female,28,Adolescent,Beauty,2,50,100,,,,,,,,,,,,,,,
88,3/29/2023,Male,56,Old,Clothing,1,500,500,,,,,,,,,,,,,,,
89,10/1/2023,Female,55,Old,Electronics,4,500,2000,,,,,,,,,,,,,,,
90,5/6/2023,Female,51,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
91,3/25/2023,Female,55,Old,Electronics,1,500,500,,,,,,,,,,,,,,,
92,8/25/2023,Female,51,Middle Age,Electronics,4,30,120,,,,,,,,,,,,,,,
93,7/14/2023,Female,35,Middle Age,Beauty,4,500,2000,,,,,,,,,,,,,,,
94,5/19/2023,Female,47,Middle Age,Beauty,2,500,1000,,,,,,,,,,,,,,,
95,11/24/2023,Female,32,Middle Age,Clothing,2,30,60,,,,,,,,,,,,,,,
96,12/19/2023,Female,44,Middle Age,Clothing,2,300,600,,,,,,,,,,,,,,,
97,10/13/2023,Female,51,Middle Age,Beauty,2,500,1000,,,,,,,,,,,,,,,
98,4/23/2023,Female,55,Old,Beauty,2,50,100,,,,,,,,,,,,,,,
99,12/17/2023,Female,50,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
100,6/16/2023,Male,41,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
101,1/29/2023,Male,32,Middle Age,Clothing,2,300,600,,,,,,,,,,,,,,,
102,4/28/2023,Female,47,Middle Age,Beauty,2,25,50,,,,,,,,,,,,,,,
103,1/17/2023,Female,59,Old,Clothing,1,25,25,,,,,,,,,,,,,,,
104,6/11/2023,Female,34,Middle Age,Beauty,2,500,1000,,,,,,,,,,,,,,,
105,7/25/2023,Female,22,Adolescent,Electronics,1,500,500,,,,,,,,,,,,,,,
106,5/18/2023,Female,46,Middle Age,Clothing,1,50,50,,,,,,,,,,,,,,,
107,2/3/2023,Female,21,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
108,4/19/2023,Female,27,Adolescent,Beauty,3,25,75,,,,,,,,,,,,,,,
109,10/18/2023,Female,34,Middle Age,Electronics,4,500,2000,,,,,,,,,,,,,,,
110,6/11/2023,Male,27,Adolescent,Clothing,3,300,900,,,,,,,,,,,,,,,
111,4/19/2023,Female,34,Middle Age,Electronics,3,500,1500,,,,,,,,,,,,,,,
112,12/2/2023,Male,37,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
113,9/13/2023,Female,41,Middle Age,Electronics,2,25,50,,,,,,,,,,,,,,,
114,7/22/2023,Female,22,Adolescent,Beauty,4,25,100,,,,,,,,,,,,,,,
115,11/26/2023,Male,51,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
116,8/23/2023,Female,23,Adolescent,Clothing,1,30,30,,,,,,,,,,,,,,,
117,3/15/2023,Male,19,Adolescent,Electronics,2,500,1000,,,,,,,,,,,,,,,
118,5/16/2023,Female,30,Adolescent,Electronics,4,500,2000,,,,,,,,,,,,,,,
119,3/13/2023,Female,60,Old,Clothing,3,50,150,,,,,,,,,,,,,,,
120,5/7/2023,Male,60,Old,Beauty,1,50,50,,,,,,,,,,,,,,,
121,10/15/2023,Female,28,Adolescent,Electronics,4,50,200,,,,,,,,,,,,,,,
122,10/3/2023,Male,64,Old,Electronics,4,30,120,,,,,,,,,,,,,,,
123,5/15/2023,Female,40,Middle Age,Electronics,2,30,60,,,,,,,,,,,,,,,
124,10/27/2023,Male,33,Middle Age,Clothing,4,500,2000,,,,,,,,,,,,,,,
125,8/8/2023,Male,48,Middle Age,Clothing,2,50,100,,,,,,,,,,,,,,,
126,10/26/2023,Female,28,Adolescent,Clothing,3,30,90,,,,,,,,,,,,,,,
127,7/24/2023,Female,33,Middle Age,Clothing,2,25,50,,,,,,,,,,,,,,,
128,7/5/2023,Male,25,Adolescent,Beauty,1,500,500,,,,,,,,,,,,,,,
129,4/23/2023,Female,21,Adolescent,Beauty,2,300,600,,,,,,,,,,,,,,,
130,3/12/2023,Female,57,Old,Clothing,1,500,500,,,,,,,,,,,,,,,
131,9/18/2023,Female,21,Adolescent,Beauty,2,300,600,,,,,,,,,,,,,,,
132,9/10/2023,Male,42,Middle Age,Electronics,4,50,200,,,,,,,,,,,,,,,
133,2/16/2023,Male,20,Adolescent,Electronics,3,300,900,,,,,,,,,,,,,,,
134,1/25/2023,Male,49,Middle Age,Electronics,1,50,50,,,,,,,,,,,,,,,
135,2/26/2023,Male,20,Adolescent,Clothing,2,25,50,,,,,,,,,,,,,,,
136,3/20/2023,Male,44,Middle Age,Electronics,2,300,600,,,,,,,,,,,,,,,
137,11/18/2023,Male,46,Middle Age,Beauty,2,500,1000,,,,,,,,,,,,,,,
138,3/23/2023,Male,49,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
139,12/15/2023,Male,36,Middle Age,Beauty,4,500,2000,,,,,,,,,,,,,,,
140,8/5/2023,Male,38,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
141,11/2/2023,Female,22,Adolescent,Electronics,1,50,50,,,,,,,,,,,,,,,
142,2/2/2023,Male,35,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
143,7/17/2023,Female,45,Middle Age,Clothing,1,50,50,,,,,,,,,,,,,,,
144,7/15/2023,Female,59,Old,Beauty,3,500,1500,,,,,,,,,,,,,,,
145,11/2/2023,Female,39,Middle Age,Clothing,3,25,75,,,,,,,,,,,,,,,
146,8/28/2023,Male,38,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
147,9/28/2023,Male,23,Adolescent,Electronics,1,300,300,,,,,,,,,,,,,,,
148,5/9/2023,Male,18,Adolescent,Clothing,2,30,60,,,,,,,,,,,,,,,
149,10/11/2023,Male,22,Adolescent,Clothing,3,25,75,,,,,,,,,,,,,,,
150,1/6/2023,Female,58,Old,Electronics,4,30,120,,,,,,,,,,,,,,,
151,12/15/2023,Male,29,Adolescent,Clothing,1,50,50,,,,,,,,,,,,,,,
152,2/28/2023,Male,43,Middle Age,Electronics,4,500,2000,,,,,,,,,,,,,,,
153,12/16/2023,Male,63,Old,Electronics,2,500,1000,,,,,,,,,,,,,,,
154,10/2/2023,Male,51,Middle Age,Electronics,3,300,900,,,,,,,,,,,,,,,
155,5/17/2023,Male,31,Adolescent,Electronics,4,500,2000,,,,,,,,,,,,,,,
156,11/25/2023,Female,43,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
157,6/24/2023,Male,62,Old,Electronics,4,500,2000,,,,,,,,,,,,,,,
158,2/27/2023,Female,44,Middle Age,Electronics,2,300,600,,,,,,,,,,,,,,,
159,5/31/2023,Male,26,Adolescent,Clothing,4,50,200,,,,,,,,,,,,,,,
160,8/11/2023,Female,43,Middle Age,Clothing,2,50,100,,,,,,,,,,,,,,,
161,3/22/2023,Male,64,Old,Beauty,2,500,1000,,,,,,,,,,,,,,,
162,8/21/2023,Male,39,Middle Age,Clothing,2,30,60,,,,,,,,,,,,,,,
163,1/2/2023,Female,64,Old,Clothing,3,50,150,,,,,,,,,,,,,,,
164,5/15/2023,Female,47,Middle Age,Beauty,3,500,1500,,,,,,,,,,,,,,,
165,9/14/2023,Female,60,Old,Clothing,4,300,1200,,,,,,,,,,,,,,,
166,4/2/2023,Male,34,Middle Age,Clothing,4,500,2000,,,,,,,,,,,,,,,
167,9/17/2023,Female,43,Middle Age,Clothing,3,50,150,,,,,,,,,,,,,,,
168,2/24/2023,Male,53,Middle Age,Clothing,1,300,300,,,,,,,,,,,,,,,
169,11/17/2023,Male,18,Adolescent,Beauty,3,500,1500,,,,,,,,,,,,,,,
170,6/2/2023,Female,25,Adolescent,Clothing,2,25,50,,,,,,,,,,,,,,,
171,11/24/2023,Female,52,Middle Age,Clothing,3,300,900,,,,,,,,,,,,,,,
172,9/17/2023,Male,32,Middle Age,Beauty,2,25,50,,,,,,,,,,,,,,,
173,11/8/2023,Male,64,Old,Electronics,4,30,120,,,,,,,,,,,,,,,
174,4/12/2023,Female,39,Middle Age,Beauty,1,300,300,,,,,,,,,,,,,,,
175,3/20/2023,Female,31,Adolescent,Electronics,4,25,100,,,,,,,,,,,,,,,
176,7/11/2023,Female,43,Middle Age,Beauty,2,50,100,,,,,,,,,,,,,,,
177,3/24/2023,Male,45,Middle Age,Beauty,2,50,100,,,,,,,,,,,,,,,
178,10/4/2023,Male,40,Middle Age,Clothing,2,30,60,,,,,,,,,,,,,,,
179,9/29/2023,Male,31,Adolescent,Electronics,1,300,300,,,,,,,,,,,,,,,
180,1/1/2023,Male,41,Middle Age,Clothing,3,300,900,,,,,,,,,,,,,,,
181,11/3/2023,Male,19,Adolescent,Electronics,4,300,1200,,,,,,,,,,,,,,,
182,6/15/2023,Male,62,Old,Beauty,4,30,120,,,,,,,,,,,,,,,
183,9/8/2023,Female,43,Middle Age,Beauty,3,300,900,,,,,,,,,,,,,,,
184,1/10/2023,Male,31,Adolescent,Electronics,4,50,200,,,,,,,,,,,,,,,
185,2/27/2023,Male,24,Adolescent,Clothing,1,25,25,,,,,,,,,,,,,,,
186,7/5/2023,Male,20,Adolescent,Clothing,4,50,200,,,,,,,,,,,,,,,
187,6/7/2023,Female,64,Old,Clothing,2,50,100,,,,,,,,,,,,,,,
188,5/3/2023,Male,40,Middle Age,Clothing,3,25,75,,,,,,,,,,,,,,,
189,1/30/2023,Male,63,Old,Beauty,1,50,50,,,,,,,,,,,,,,,
190,5/4/2023,Female,60,Old,Beauty,3,30,90,,,,,,,,,,,,,,,
191,10/18/2023,Male,64,Old,Beauty,1,25,25,,,,,,,,,,,,,,,
192,2/10/2023,Male,62,Old,Beauty,2,50,100,,,,,,,,,,,,,,,
193,2/13/2023,Male,35,Middle Age,Beauty,3,500,1500,,,,,,,,,,,,,,,
194,9/6/2023,Male,55,Old,Clothing,4,50,200,,,,,,,,,,,,,,,
195,2/5/2023,Male,52,Middle Age,Clothing,1,30,30,,,,,,,,,,,,,,,
196,9/30/2023,Female,32,Middle Age,Clothing,3,300,900,,,,,,,,,,,,,,,
197,3/6/2023,Female,42,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
198,3/7/2023,Female,54,Middle Age,Beauty,3,300,900,,,,,,,,,,,,,,,
199,12/4/2023,Male,45,Middle Age,Beauty,3,500,1500,,,,,,,,,,,,,,,
200,9/1/2023,Male,27,Adolescent,Beauty,3,50,150,,,,,,,,,,,,,,,
201,10/9/2023,Male,56,Old,Electronics,1,25,25,,,,,,,,,,,,,,,
202,3/26/2023,Female,34,Middle Age,Clothing,4,300,1200,,,,,,,,,,,,,,,
203,5/16/2023,Male,56,Old,Clothing,2,500,1000,,,,,,,,,,,,,,,
204,9/28/2023,Male,39,Middle Age,Beauty,1,25,25,,,,,,,,,,,,,,,
205,11/7/2023,Female,43,Middle Age,Clothing,1,25,25,,,,,,,,,,,,,,,
206,8/5/2023,Male,61,Old,Clothing,1,25,25,,,,,,,,,,,,,,,
207,4/19/2023,Female,42,Middle Age,Beauty,2,25,50,,,,,,,,,,,,,,,
208,10/4/2023,Female,34,Middle Age,Electronics,4,50,200,,,,,,,,,,,,,,,
209,12/20/2023,Female,30,Adolescent,Electronics,4,50,200,,,,,,,,,,,,,,,
210,4/13/2023,Male,37,Middle Age,Electronics,4,50,200,,,,,,,,,,,,,,,
211,1/1/2024,Male,42,Middle Age,Beauty,3,500,1500,,,,,,,,,,,,,,,
212,6/9/2023,Male,21,Adolescent,Clothing,3,500,1500,,,,,,,,,,,,,,,
213,7/24/2023,Male,27,Adolescent,Beauty,3,500,1500,,,,,,,,,,,,,,,
214,12/10/2023,Male,20,Adolescent,Beauty,2,30,60,,,,,,,,,,,,,,,
215,11/29/2023,Male,58,Old,Clothing,3,500,1500,,,,,,,,,,,,,,,
216,7/11/2023,Male,62,Old,Electronics,2,50,100,,,,,,,,,,,,,,,
217,8/13/2023,Female,35,Middle Age,Electronics,4,50,200,,,,,,,,,,,,,,,
218,9/22/2023,Male,64,Old,Beauty,3,30,90,,,,,,,,,,,,,,,
219,8/20/2023,Female,53,Middle Age,Electronics,3,30,90,,,,,,,,,,,,,,,
220,3/3/2023,Male,64,Old,Beauty,1,500,500,,,,,,,,,,,,,,,
221,5/7/2023,Male,39,Middle Age,Beauty,2,300,600,,,,,,,,,,,,,,,
222,4/26/2023,Male,51,Middle Age,Clothing,4,30,120,,,,,,,,,,,,,,,
223,2/2/2023,Female,64,Old,Clothing,1,25,25,,,,,,,,,,,,,,,
224,6/23/2023,Female,25,Adolescent,Clothing,1,50,50,,,,,,,,,,,,,,,
225,1/11/2023,Female,57,Old,Beauty,4,25,100,,,,,,,,,,,,,,,
226,10/29/2023,Female,61,Old,Clothing,1,50,50,,,,,,,,,,,,,,,
227,10/11/2023,Male,36,Middle Age,Electronics,2,50,100,,,,,,,,,,,,,,,
228,4/28/2023,Female,59,Old,Electronics,2,30,60,,,,,,,,,,,,,,,
229,10/29/2023,Male,58,Old,Beauty,3,30,90,,,,,,,,,,,,,,,
230,4/23/2023,Male,54,Middle Age,Beauty,1,25,25,,,,,,,,,,,,,,,
231,1/4/2023,Female,23,Adolescent,Clothing,3,50,150,,,,,,,,,,,,,,,
232,2/6/2023,Female,43,Middle Age,Beauty,1,25,25,,,,,,,,,,,,,,,
233,12/29/2023,Female,51,Middle Age,Beauty,2,300,600,,,,,,,,,,,,,,,
234,11/20/2023,Female,62,Old,Electronics,2,25,50,,,,,,,,,,,,,,,
235,1/31/2023,Female,23,Adolescent,Electronics,2,500,1000,,,,,,,,,,,,,,,
236,4/28/2023,Female,54,Middle Age,Clothing,1,25,25,,,,,,,,,,,,,,,
237,2/4/2023,Female,50,Middle Age,Beauty,2,500,1000,,,,,,,,,,,,,,,
238,1/17/2023,Female,39,Middle Age,Beauty,1,500,500,,,,,,,,,,,,,,,
239,6/19/2023,Male,38,Middle Age,Electronics,3,500,1500,,,,,,,,,,,,,,,
240,2/6/2023,Female,23,Adolescent,Beauty,1,300,300,,,,,,,,,,,,,,,
241,9/21/2023,Female,23,Adolescent,Electronics,3,25,75,,,,,,,,,,,,,,,
242,5/2/2023,Male,21,Adolescent,Clothing,1,25,25,,,,,,,,,,,,,,,
243,5/23/2023,Female,47,Middle Age,Electronics,3,300,900,,,,,,,,,,,,,,,
244,12/9/2023,Male,28,Adolescent,Beauty,2,50,100,,,,,,,,,,,,,,,
245,9/6/2023,Male,47,Middle Age,Clothing,3,30,90,,,,,,,,,,,,,,,
246,4/20/2023,Female,48,Middle Age,Electronics,2,25,50,,,,,,,,,,,,,,,
247,10/4/2023,Male,41,Middle Age,Electronics,2,30,60,,,,,,,,,,,,,,,
248,3/9/2023,Male,26,Adolescent,Clothing,3,300,900,,,,,,,,,,,,,,,
249,10/20/2023,Male,20,Adolescent,Clothing,1,50,50,,,,,,,,,,,,,,,
250,10/23/2023,Male,48,Middle Age,Electronics,1,50,50,,,,,,,,,,,,,,,
251,8/31/2023,Female,57,Old,Beauty,4,50,200,,,,,,,,,,,,,,,
252,5/5/2023,Male,54,Middle Age,Electronics,1,300,300,,,,,,,,,,,,,,,
253,8/31/2023,Female,53,Middle Age,Clothing,4,500,2000,,,,,,,,,,,,,,,
254,7/28/2023,Male,41,Middle Age,Electronics,1,500,500,,,,,,,,,,,,,,,
255,4/8/2023,Male,48,Middle Age,Clothing,1,30,30,,,,,,,,,,,,,,,
256,2/18/2023,Male,23,Adolescent,Clothing,2,500,1000,,,,,,,,,,,,,,,
257,2/19/2023,Male,19,Adolescent,Beauty,4,500,2000,,,,,,,,,,,,,,,
258,12/4/2023,Female,37,Middle Age,Clothing,1,50,50,,,,,,,,,,,,,,,
259,8/9/2023,Female,45,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
260,7/1/2023,Male,28,Adolescent,Beauty,2,30,60,,,,,,,,,,,,,,,
261,8/5/2023,Male,21,Adolescent,Clothing,2,25,50,,,,,,,,,,,,,,,
262,7/30/2023,Female,32,Middle Age,Beauty,4,30,120,,,,,,,,,,,,,,,
263,8/28/2023,Male,23,Adolescent,Beauty,2,30,60,,,,,,,,,,,,,,,
264,1/28/2023,Male,47,Middle Age,Clothing,3,300,900,,,,,,,,,,,,,,,
265,12/11/2023,Male,55,Old,Clothing,3,300,900,,,,,,,,,,,,,,,
266,12/1/2023,Female,19,Adolescent,Electronics,2,30,60,,,,,,,,,,,,,,,
267,11/27/2023,Female,32,Middle Age,Beauty,3,30,90,,,,,,,,,,,,,,,
268,2/20/2023,Female,28,Adolescent,Electronics,1,30,30,,,,,,,,,,,,,,,
269,2/1/2023,Male,25,Adolescent,Clothing,4,500,2000,,,,,,,,,,,,,,,
270,7/26/2023,Male,43,Middle Age,Electronics,1,300,300,,,,,,,,,,,,,,,
271,6/23/2023,Female,62,Old,Beauty,4,30,120,,,,,,,,,,,,,,,
272,2/25/2023,Female,61,Old,Electronics,2,50,100,,,,,,,,,,,,,,,
273,5/8/2023,Female,22,Adolescent,Beauty,1,50,50,,,,,,,,,,,,,,,
274,4/9/2023,Female,23,Adolescent,Clothing,2,500,1000,,,,,,,,,,,,,,,
275,4/8/2023,Male,43,Middle Age,Clothing,2,500,1000,,,,,,,,,,,,,,,
276,10/2/2023,Female,21,Adolescent,Beauty,4,25,100,,,,,,,,,,,,,,,
277,8/18/2023,Male,36,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
278,3/13/2023,Female,37,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
279,8/5/2023,Male,50,Middle Age,Clothing,1,500,500,,,,,,,,,,,,,,,
280,4/4/2023,Female,37,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
281,5/23/2023,Female,29,Adolescent,Beauty,4,500,2000,,,,,,,,,,,,,,,
282,8/25/2023,Female,64,Old,Electronics,4,50,200,,,,,,,,,,,,,,,
283,5/8/2023,Female,18,Adolescent,Electronics,1,500,500,,,,,,,,,,,,,,,
284,2/8/2023,Male,43,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
285,8/15/2023,Female,31,Adolescent,Electronics,1,25,25,,,,,,,,,,,,,,,
286,10/9/2023,Male,55,Old,Electronics,2,25,50,,,,,,,,,,,,,,,
287,2/20/2023,Male,54,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
288,1/26/2023,Male,28,Adolescent,Clothing,4,30,120,,,,,,,,,,,,,,,
289,11/30/2023,Male,53,Middle Age,Electronics,2,30,60,,,,,,,,,,,,,,,
290,10/4/2023,Female,30,Adolescent,Beauty,2,300,600,,,,,,,,,,,,,,,
291,1/8/2023,Male,60,Old,Clothing,2,300,600,,,,,,,,,,,,,,,
292,2/17/2023,Male,20,Adolescent,Beauty,4,300,1200,,,,,,,,,,,,,,,
293,5/2/2023,Male,50,Middle Age,Electronics,3,30,90,,,,,,,,,,,,,,,
294,3/27/2023,Female,23,Adolescent,Clothing,3,30,90,,,,,,,,,,,,,,,
295,7/28/2023,Female,27,Adolescent,Beauty,3,300,900,,,,,,,,,,,,,,,
296,9/6/2023,Female,22,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
297,9/4/2023,Female,40,Middle Age,Electronics,2,500,1000,,,,,,,,,,,,,,,
298,4/20/2023,Male,27,Adolescent,Beauty,4,300,1200,,,,,,,,,,,,,,,
299,7/25/2023,Male,61,Old,Electronics,2,500,1000,,,,,,,,,,,,,,,
300,1/31/2023,Female,19,Adolescent,Electronics,4,50,200,,,,,,,,,,,,,,,
301,3/26/2023,Male,30,Adolescent,Clothing,4,30,120,,,,,,,,,,,,,,,
302,7/14/2023,Male,57,Old,Beauty,2,300,600,,,,,,,,,,,,,,,
